contract_id	comp_nodes	comp_edges	transitivity	density	coverage	elapsed_time
46	685483	699393	2.90674e-06	2.97686e-06	0.934473	545909052
47	366471	642093	5.80188e-05	9.56203e-06	0.999973	557262085
48	15637	81264	0.00177969	0.000664736	1	50471558
49	381156	494842	6.78795e-06	6.81227e-06	1	387351565
50	77960	162926	3.38948e-06	5.36145e-05	1	92131374
51	22243	72033	0.00493235	0.000291202	0.99964	47260301
52	437609	746537	2.16028e-05	7.79668e-06	0.999957	589396368
53	245698	522729	0.000180777	1.73183e-05	0.99844	397587988
54	147278	346989	4.59066e-05	3.19943e-05	1	201750169
55	67402	286241	0.00026238	0.000126015	0.999985	153301184
56	1265789	1279020	2.80378e-08	1.59656e-06	0.999968	867999679
57	13887	47248	0.0012689	0.000490036	1	32377177
58	415	422	0.000264632	0.0049124	0.176671	2273749
59	23881	47658	0.000555647	0.000167139	1	26891015
60	223719	455341	3.26076e-05	1.81955e-05	0.999933	303172235
61	297343	541047	0.00013217	1.22391e-05	0.999956	434482298
62	246114	484189	0.000101026	1.59873e-05	0.999789	383685652
63	706472	1133629	3.03531e-06	4.54267e-06	0.999994	821877069
64	1200720	1202738	1.47274e-09	1.66847e-06	0.999995	803249347
65	1199236	1199384	3.8813e-10	1.66794e-06	1	798474851
66	590893	1147508	3.05285e-06	6.57308e-06	0.991262	657910971
67	262982	525405	8.66493e-05	1.51941e-05	0.999935	409169260
68	91882	232692	1.25143e-05	5.51258e-05	1	125288429
69	78858	214432	0.000256439	6.89658e-05	1	146827838
70	604273	1161083	3.90034e-06	6.35957e-06	1	674701857
71	124739	330723	4.3409e-05	4.25102e-05	0.999992	199184383
72	178864	319472	0.000121804	1.99719e-05	1	213933121
73	291860	509838	6.14847e-05	1.19706e-05	0.996585	401935936
74	386991	633785	2.42868e-05	8.46392e-06	0.999855	530773695
75	323659	519334	4.79627e-05	9.91523e-06	0.999985	440351300
76	307188	532395	4.82934e-05	1.12838e-05	0.999974	399081998
77	297213	505801	7.00043e-05	1.14518e-05	0.999845	408971966
78	974783	993628	4.48845e-08	2.09141e-06	0.999994	676749767
79	211231	363386	0.000156095	1.62886e-05	0.999986	292869129
80	21972	131305	0.000667931	0.000543991	1	71126182
81	503562	727135	4.60474e-05	5.73509e-06	1	547133497
82	252197	447558	5.19188e-05	1.40735e-05	0.998673	343139603
83	592	598	0.000499889	0.00341839	0.138028	4001922
84	214200	424132	0.000131379	1.84882e-05	0.999977	313500992
85	107681	206270	0.000183069	3.55789e-05	0.999916	145884711
86	283190	445960	3.6638e-05	1.11217e-05	0.999996	340232516
87	70251	88599	1.26586e-05	3.59054e-05	1	59790089
88	161352	332120	4.98974e-05	2.5514e-05	0.999981	225849963
89	39938	107255	0	0.000134489	1	63307968
90	130649	198183	3.44316e-05	2.32214e-05	1	113416679
91	51072	78144	0.00024043	5.99195e-05	0.999785	58343637
92	93773	479600	0.000343362	0.000109083	1	289366819
93	106372	217939	0.000158747	3.85225e-05	0.999887	146522332
94	40623	88375	0.000182632	0.000107109	1	55702852
