features,k,silhouette,homogeneity
error,19,0.6051688698188573,0.35318112878437063
error,20,0.6202246474220412,0.36766019180234843
diameter,2,0.6013699927094234,0.04279479351435291
diameter,3,0.5696541818458492,0.08209797682893216
diameter,4,0.5368577242748898,0.13638728168305533
diameter,5,0.5560193898083818,0.1449862672193431
diameter,6,0.5376483552592758,0.18088862800847466
diameter,7,0.5416317630353249,0.19674497732545365
diameter,8,0.5479973843879566,0.2121787669657679
diameter,9,0.5523613534017712,0.2365591134488907
diameter,10,0.5735630093794057,0.24199179169133467
diameter,11,0.5812758194218675,0.2601693414437678
diameter,12,0.5943638345190649,0.27242276708493995
diameter,13,0.6126037732320901,0.28665592904010223
diameter,14,0.6178319080020243,0.2867664584135377
diameter,15,0.6252279646010555,0.313235340437501
diameter,16,0.6134129487401211,0.33548324844816396
diameter,17,0.6044922093404128,0.344406860820697
diameter,18,0.6036291844181317,0.34485244119302766
diameter,19,0.5961626453827357,0.34485244119302766
diameter,20,0.5776950324678138,0.3601820520123701
est_apl,2,0.555791342006498,0.034078721421742855
est_apl,3,0.5143566566326601,0.09277132213573655
est_apl,4,0.6010371859040908,0.1357476234695721
est_apl,5,0.565999733228065,0.14055085808050394
est_apl,6,0.5487494049585809,0.20171793233869603
est_apl,7,0.5975242569707975,0.20808675899002793
est_apl,8,0.6086643481770735,0.22082411346197994
est_apl,9,0.6194246072163104,0.25700092100543653
est_apl,10,0.6290758038018782,0.2751200764896547
est_apl,11,0.6357642009869402,0.29419247878193167
est_apl,12,0.624119565613195,0.30311609115446475
est_apl,13,0.6250156060573571,0.30730533204489985
est_apl,14,0.6094928612530258,0.317287736536001
est_apl,15,0.6139055680732275,0.3228747551531353
est_apl,16,0.6061580820970461,0.32624291688022355
est_apl,17,0.6100440697982455,0.33898027135217546
est_apl,18,0.5971905141106639,0.35054925263231984
est_apl,19,0.593427885735141,0.36540854043284215
est_apl,20,0.5929116919513957,0.38610616561767946
transitivity,2,0.7505237284873292,0.02494069145307494
transitivity,3,0.7188181442592151,0.04911375089465767
transitivity,4,0.7170464642933345,0.05861726735925025
transitivity,5,0.6054265487683511,0.12528309036427465
transitivity,6,0.6462488599316784,0.14290157236681242
transitivity,7,0.6481848912326175,0.15182531528582507
transitivity,8,0.6478597811773197,0.17059453219596443
transitivity,9,0.6473534690875223,0.18969481066474844
transitivity,10,0.6576438630730655,0.19743755022854975
transitivity,11,0.6377952411609471,0.2294716187527767
transitivity,12,0.6280721318261605,0.23384619658948977
transitivity,13,0.6272645676629147,0.2484828265405069
transitivity,14,0.619785440941986,0.25477356962235276
transitivity,15,0.6340173703515469,0.2793909502781325
transitivity,16,0.6253691191829853,0.28336455012606193
transitivity,17,0.6511548090272647,0.31016222922382264
transitivity,18,0.6458798196972916,0.3498770804556619
transitivity,19,0.6319832652680363,0.357058984282169
transitivity,20,0.6320388881012758,0.36379530773634555
density,2,0.8342727267904513,0.02351156318859978
density,3,0.77394271535347,0.04508625694460119
density,4,0.7274589921621124,0.06877082915124713
density,5,0.7162129324203681,0.08859957473123213
density,6,0.7314202980276793,0.09034128327725802
density,7,0.6261512548728355,0.1285795315213941
density,8,0.6150807847703613,0.13280763274236482
density,9,0.5936270913600201,0.1362698803866771
density,10,0.615882002841784,0.1635399369984893
density,11,0.6088457920955541,0.17072184082499642
density,12,0.6043368621101877,0.17131560731637455
density,13,0.6041834358038032,0.1874211235154147
density,14,0.6072364479006953,0.1940092608505437
density,15,0.6212969161746944,0.24100971121675038
density,16,0.6047598812218627,0.2756238239997831
density,17,0.5860006042929448,0.28854787820040717
density,18,0.5783361307539829,0.287855746110133
density,19,0.5848929708242456,0.3097439397304372
density,20,0.586081829406932,0.3194499131641102
coverage alpha,2,0.7067009712400756,0.01912504875931478
coverage alpha,3,0.5360744870728824,0.05954020941736441
coverage alpha,4,0.5003207708596936,0.10517916582543464
coverage alpha,5,0.49437122588902693,0.1319500029430337
