contract_id,category,category_id,comp_nodes,coverage,alpha,error,diameter,est_apl,transitivity,density
69,other,1,78858,1.0,3.272012,0.007881,0.7981975602394681,0.2189230638647638,0.000256439,6.89658e-05
70,other,1,604273,1.0,8.399611,0.03077,0.6760928350274185,0.15147003584531607,3.90034e-06,6.35957e-06
71,defi,0,124739,0.999992,4.660583,0.017141,0.8522258427429931,0.19362042767098303,4.3409e-05,4.25102e-05
72,blockchain,5,178864,1.0,2.380294,0.034138,0.4960981459341386,0.2758925814076228,0.000121804,1.99719e-05
73,other,1,291860,0.996585,3.315289,0.03245,1.350918637054021,0.31630242089798266,6.14847e-05,1.19706e-05
74,layer-2,3,386991,0.999855,3.318137,0.029855,2.0985287678468576,0.26065802508439506,2.42868e-05,8.46392e-06
75,other,1,323659,0.999985,3.080286,0.019344,2.206905984426624,0.34144658255517185,4.79627e-05,9.91523e-06
76,other,1,307188,0.999974,3.933982,0.016622,1.1080143677467282,0.2759105357628999,4.82934e-05,1.12838e-05
77,defi,0,297213,0.999845,3.945458,0.019376,1.1109167595340985,0.30012915996439044,7.00043e-05,1.14518e-05
78,multimedia,2,974783,0.999994,5.228062,0.001862,1.2327800424070032,0.14773897087508625,4.48845e-08,2.09141e-06
79,defi,0,211231,0.999986,3.030976,0.021575,1.71278858321417,0.3535394645475144,0.000156095,1.62886e-05
80,other,1,21972,1.0,4.405802,0.049109,0.6001485851190355,0.22523976498574147,0.000667931,0.000543991
81,defi,0,503562,1.0,1.966088,0.022498,2.3611020552788053,0.32840073417087123,4.60474e-05,5.73509e-06
82,blockchain,5,252197,0.998673,3.914528,0.0043,1.1255859854498609,0.3053264544131292,5.19188e-05,1.40735e-05
83,other,1,592,0.138028,2.815101,0.040805,1.4098833939981545,0.5808931065781496,0.000499889,0.00341839
84,content,4,214200,0.999977,3.217236,0.019282,1.059092002688567,0.27500171123410794,0.000131379,1.84882e-05
85,defi,0,107681,0.999916,2.735078,0.018181,1.2082580886411343,0.35099310606810474,0.000183069,3.55789e-05
86,defi,0,283190,0.999996,3.89638,0.013199,1.9117605674505656,0.296634982867474,3.6638e-05,1.11217e-05
87,defi,0,70251,1.0,2.810963,0.022244,0.7168568094336499,0.24284832683242108,1.26586e-05,3.59054e-05
